Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
00030499 0000005d 0002e200 f DATA/CONTENTS/YAROZIAN.FPC
000304f6 00000001 00000800 d ROTM2
000304f7 0000004c 00026000 f ROTM2/ROTM2.EXE
00030543 00006d68 03e65500 x ROTM2/ROTM2.STR
000372ab 00000001 00000800 d GOTM9
000372ac 0000004c 00026000 f GOTM9/GOTM9.EXE
000372f8 00009600 0558c000 x GOTM9/GOTM9.STR
000408f8 00000001 00000800 d HAWKSP2
000408f9 0000004c 00026000 f HAWKSP2/HAWKSP2.EXE
00040945 0000bef8 06ce9700 x HAWKSP2/HAWKSP2.STR
